DoctorID,DoctorName,DOB,Gender,Phone,City,Specialization
D00001,Doctor_1,1970-10-08,F,7647805719,City_21,Neurology
D00002,Doctor_2,1966-05-28,M,2713555165,City_66,Oncology
D00003,Doctor_3,1971-03-12,M,1729256144,City_64,General
D00004,Doctor_4,1994-03-01,F,2247066307,City_76,General
D00005,Doctor_5,1963-03-07,M,7031308767,City_90,Cardiology
D00006,Doctor_6,1988-09-26,F,1883404721,City_17,Pediatrics
D00007,Doctor_7,1983-07-03,F,9037029403,City_94,Orthopedics
D00008,Doctor_8,1977-08-24,F,8266156974,City_83,Oncology
D00009,Doctor_9,1961-10-22,F,7851764947,City_14,General
D00010,Doctor_10,1977-12-19,M,1101685144,City_92,Orthopedics
D00011,Doctor_11,1976-06-19,F,1470315597,City_88,Neurology
D00012,Doctor_12,1989-02-25,M,9864486683,City_37,General
D00013,Doctor_13,1959-12-12,M,9225399753,City_21,General
D00014,Doctor_14,1953-10-13,M,6367448108,City_34,Oncology
D00015,Doctor_15,1957-07-15,M,1015180582,City_20,Orthopedics
D00016,Doctor_16,1981-08-14,F,7648711943,City_77,Cardiology
D00017,Doctor_17,1982-02-02,F,9068336995,City_91,Neurology
D00018,Doctor_18,1977-11-18,F,3067165367,City_97,Neurology
D00019,Doctor_19,1991-09-24,M,7714805894,City_25,Neurology
D00020,Doctor_20,1968-03-02,M,1228870921,City_90,Oncology
D00021,Doctor_21,1961-04-17,F,2986495692,City_4,Oncology
D00022,Doctor_22,1982-01-08,M,8503820636,City_31,Orthopedics
D00023,Doctor_23,1979-11-02,F,8418516756,City_87,Pediatrics
D00024,Doctor_24,1955-10-23,F,9805086660,City_72,General
D00025,Doctor_25,1958-11-04,M,8386091778,City_31,Neurology
D00026,Doctor_26,1979-04-11,F,1906149599,City_27,Pediatrics
D00027,Doctor_27,1978-04-08,F,4093990480,City_49,Pediatrics
D00028,Doctor_28,1951-02-06,F,8383530922,City_2,Pediatrics
D00029,Doctor_29,1969-08-12,F,2814080493,City_69,Neurology
D00030,Doctor_30,1964-02-13,M,8095311294,City_68,Pediatrics
D00031,Doctor_31,1994-05-27,M,2459764665,City_23,Neurology
D00032,Doctor_32,1951-08-01,M,5610325284,City_25,Cardiology
D00033,Doctor_33,1950-01-24,F,9348098406,City_19,Neurology
