NurseID,NurseName,DOB,Gender,Phone,City,Department
N000001,Nurse_1,1962-09-12,F,8229544777
N000002,Nurse_2,1978-05-05,F,3844325443,City_69,ICU
N000003,Nurse_3,1976-06-03,M,7499386233,City_92,General
N000004,Nurse_4,1971-07-27,F,8616196122,City_62,ICU
N000005,Nurse_5,1975-01-10,F,6112080963,City_83,General
N000006,Nurse_6,1989-05-27,M,9035257521,City_27,Surgery
N000007,Nurse_7,1980-07-27,F,8461706030,City_86,General
N000008,Nurse_8,1991-08-26,M,8685952396,City_43,General
N000009,Nurse_9,1992-08-25,F,8105787276,City_88,General
N000010,Nurse_10,1974-06-22,M,2949453459,City_99,Pediatrics
N000011,Nurse_11,1980-09-22,M,8725132834,City_72,Surgery
N000012,Nurse_12,1975-02-01,F,4407406068,City_80,Pediatrics
N000013,Nurse_13,1975-01-13,M,2714938523,City_67,Surgery
N000014,Nurse_14,1963-01-11,M,9934960895,City_89,Surgery
N000015,Nurse_15,1965-07-26,F,4316832216,City_26,ER
N000016,Nurse_16,1965-09-08,M,6778749873,City_77,Surgery
N000017,Nurse_17,1992-11-02,M,1935887692,City_92,ER
N000018,Nurse_18,1993-05-24,F,1745103166,City_67,General
N000019,Nurse_19,1963-01-30,F,2458420120,City_100,Pediatrics
N000020,Nurse_20,1980-07-24,M,5540932079,City_35,Pediatrics
N000021,Nurse_21,1962-07-22,F,4627907305,City_68,Pediatrics
N000022,Nurse_22,1981-06-25,M,3931823446,City_42,Pediatrics
N000023,Nurse_23,1988-10-10,F,1537847586,City_58,Surgery
N000024,Nurse_24,1972-11-26,M,7167007760,City_35,ICU
N000025,Nurse_25,1978-06-24,F,4392032321,City_97,Surgery
N000026,Nurse_26,1990-04-15,M,6939802252,City_75,General
N000027,Nurse_27,1993-08-16,F,2354324038,City_59,ICU
N000028,Nurse_28,1988-05-20,M,9693152260,City_84,Surgery
N000029,Nurse_29,1965-02-19,F,1064549507,City_35,ICU
N000030,Nurse_30,1987-03-02,F,2375880375,City_38,Pediatrics
N000031,Nurse_31,1987-08-06,M,5984330865,City_33,Pediatrics
N000032,Nurse_32,1981-06-20,M,1526875742,City_60,ICU
N000033,Nurse_33,1995-05-06,M,5586106783,City_80,Pediatrics
N000034,Nurse_34,1988-12-12,M,4475581711,City_54,Surgery
N000035,Nurse_35,1970-07-16,F,8992362777,City_32,Surgery
N000036,Nurse_36,1992-05-07,M,9557864339,City_2,ICU
N000037,Nurse_37,1963-01-23,M,3842542997,City_99,General
N000038,Nurse_38,1973-12-14,M,6017452564,City_22,General
N000039,Nurse_39,1978-01-16,M,5212174873,City_18,ER
N000040,Nurse_40,1976-08-01,F,9836744601,City_6,Pediatrics
N000041,Nurse_41,1966-01-15,M,7272740492,City_25,General
N000042,Nurse_42,1974-04-27,M,8958649726,City_40,ER
N000043,Nurse_43,1966-06-26,M,2080980400,City_33,General
N000044,Nurse_44,1976-05-08,M,1755283085,City_19,ER
N000045,Nurse_45,1993-12-19,F,3520090520,City_78,Pediatrics
N000046,Nurse_46,1986-06-10,F,8194050541,City_20,General
N000047,Nurse_47,1974-06-02,F,2918372261,City_59,ER
N000048,Nurse_48,1996-10-01,M,1069393214,City_36,ER
N000049,Nurse_49,1993-11-01,F,3933630005,City_71,Surgery
N000050,Nurse_50,1965-04-03,M,5270055093,City_15,Surgery
N000051,Nurse_51,1983-06-12,M,1044230018,City_69,ICU
N000052,Nurse_52,1991-06-30,F,6843735026,City_2,ER
N000053,Nurse_53,1987-04-18,M,2459472034,City_49,ICU
N000054,Nurse_54,1968-05-06,F,5983958385,City_98,ER
N000055,Nurse_55,1975-12-15,F,8694075350,City_60,Surgery
N000056,Nurse_56,1998-01-20,F,3447488273,City_51,Pediatrics
N000057,Nurse_57,1967-05-26,F,8105986624,City_62,Surgery
